Character,PerfMin,Syllables,WordCount,Sentences,Speeches,FogIndex,SMOGIndex,SlowMin@190spm,NormMin@230spm,FastMin@275spm,AvgSpeechSyllables,AvgSpeechWords,MaxSpeechSyllables,MaxSpeechWords,SyllablesPerWord,PauseMin,BreathGroups,AvgSyllablesPerBreath,MaxSyllablesPerBreath,Choppiness,BreathDensityAvg,BreathDensityMax,Urgency,Interruptibility,Blockiness,RhythmRegularity,HookFrequency,HeatIndex,Volatility
ANDROCLES,11.53,2069,1700,185,69,5.02,6.30,10.89,9.00,7.52,29.99,24.64,329,267,1.22,2.54,346,5.98,27,5.01,5.98,27.00,0.39,0.09,10.84,5.20,57.97,0.09,1.47
THE CAPTAIN,10.84,2135,1524,120,50,9.07,9.56,11.24,9.28,7.76,42.70,30.48,336,227,1.40,1.56,207,10.31,59,4.14,10.31,59.00,0.38,0.00,7.45,8.96,24.00,0.03,1.37
LAVINIA,10.28,1929,1508,143,71,6.02,7.07,10.15,8.39,7.01,27.17,21.24,471,381,1.28,1.90,243,7.94,61,3.42,7.94,61.00,0.43,0.10,17.94,7.34,42.25,0.07,2.12
FERROVIUS,8.99,1611,1334,149,60,4.78,6.09,8.48,7.00,5.86,26.85,22.23,141,117,1.21,1.98,254,6.34,32,4.23,6.34,32.00,0.51,0.13,5.26,5.66,56.67,0.17,1.16
CAESAR,7.40,1368,1033,113,40,6.64,7.84,7.20,5.95,4.97,34.20,25.82,133,110,1.32,1.46,183,7.48,47,4.58,7.48,47.00,0.46,0.12,4.26,6.50,55.00,0.11,0.87
MEGAERA,4.32,803,647,65,21,5.16,6.22,4.23,3.49,2.92,38.24,30.81,131,104,1.24,0.83,104,7.72,36,4.95,7.72,36.00,0.46,0.00,3.38,6.68,33.33,0.28,0.88
THE CENTURION,4.28,738,576,87,24,4.59,6.37,3.88,3.21,2.68,30.75,24.00,208,170,1.28,1.07,133,5.55,23,5.54,5.55,23.00,0.59,0.00,7.08,4.48,8.33,0.24,1.44
THE EDITOR,3.25,575,468,65,33,4.50,6.22,3.03,2.50,2.09,17.42,14.18,45,35,1.23,0.75,87,6.61,29,2.64,6.61,29.00,0.63,0.00,2.47,5.95,24.24,0.20,0.66
THE KEEPER,2.82,502,382,56,14,5.66,7.17,2.64,2.18,1.83,35.86,27.29,158,117,1.31,0.64,74,6.78,29,5.29,6.78,29.00,0.62,0.07,4.29,5.94,57.14,0.46,1.00
SPINTHO,2.69,456,382,54,20,3.77,5.46,2.40,1.98,1.66,22.80,19.10,69,57,1.19,0.70,92,4.96,22,4.60,4.96,22.00,0.56,0.10,2.98,3.44,55.00,0.13,0.87
LENTULUS,1.49,249,203,32,17,4.11,5.99,1.31,1.08,0.91,14.65,11.94,37,33,1.23,0.41,50,4.98,15,2.94,4.98,15.00,0.56,0.29,2.76,3.71,52.94,0.19,0.52
METELLUS,0.89,160,120,16,5,6.00,7.41,0.84,0.70,0.58,32.00,24.00,48,35,1.33,0.19,23,6.96,18,4.60,6.96,18.00,0.62,0.00,1.46,5.15,20.00,0.06,0.34
SECUTOR,0.65,125,110,8,3,6.23,5.99,0.66,0.54,0.45,41.67,36.67,77,66,1.14,0.11,14,8.93,24,4.67,8.93,24.00,0.50,0.00,1.80,6.42,66.67,0.00,0.64
THE CHRISTIAN MEN AND WOMEN,0.54,79,51,16,1,3.63,5.60,0.42,0.34,0.29,79.00,51.00,79,51,1.55,0.19,24,3.29,15,24.00,3.29,15.00,0.88,0.00,1.00,2.72,200.00,0.00,0.00
THE CALL BOY,0.48,74,52,14,6,5.33,6.54,0.39,0.32,0.27,12.33,8.67,17,15,1.42,0.16,18,4.11,8,3.00,4.11,8.00,0.93,0.00,1.73,1.88,16.67,0.14,0.33
THE RETIARIUS,0.20,38,32,3,1,5.52,6.43,0.20,0.17,0.14,38.00,32.00,38,32,1.19,0.03,4,9.50,15,4.00,9.50,15.00,0.00,0.00,1.00,5.02,0.00,0.00,0.00
CHRISTIAN1,0.18,27,22,6,4,3.28,5.46,0.14,0.12,0.10,6.75,5.50,10,7,1.23,0.06,7,3.86,8,1.75,3.86,8.00,1.00,0.00,1.27,2.10,0.00,0.00,0.30
THE GLADIATORS,0.07,11,8,2,1,1.60,3.13,0.06,0.05,0.04,11.00,8.00,11,8,1.38,0.02,3,3.67,8,3.00,3.67,8.00,1.00,0.00,1.00,3.09,0.00,0.50,0.00
Summary,70.90,12949,10152,1134,440,5.65,7.02,68.15,56.30,47.09,30.08,23.20,129.89,101.78,1.28,14.60,1866,6.39,26.44,5.13,6.39,26.44,0.58,0.05,4.33,5.01,42.79,0.15,0.78
